Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8
-0.645,-0.856,1.884,-1.254,0.662,1.036,0.035,-0.675,-1.092
-0.645,-0.856,1.884,-1.254,0.662,1.036,0.035,-0.501,-0.125
-0.645,-0.856,1.884,-1.254,0.662,1.036,0.035,-0.28,0.259
-0.645,-0.856,1.884,-1.254,0.662,1.036,0.035,0.164,0.648
-0.645,-0.856,1.884,-1.254,0.662,1.036,0.035,0.86,0.854
-0.647,-0.856,1.876,-1.262,0.914,1.021,0.024,-0.675,-1.104
-0.647,-0.856,1.876,-1.262,0.914,1.021,0.024,-0.501,-0.127
-0.647,-0.856,1.876,-1.262,0.914,1.021,0.024,-0.28,0.606
-0.647,-0.856,1.876,-1.262,0.914,1.021,0.024,0.164,0.935
-0.647,-0.856,1.876,-1.262,0.914,1.021,0.024,0.86,1.406
-0.038,0.277,-0.465,-0.977,0.835,1.142,0.111,-0.675,-0.321
-0.038,0.277,-0.465,-0.977,0.835,1.142,0.111,-0.501,0.712
-0.038,0.277,-0.465,-0.977,0.835,1.142,0.111,-0.28,1.636
-0.038,0.277,-0.465,-0.977,0.835,1.142,0.111,0.164,1.856
-0.038,0.277,-0.465,-0.977,0.835,1.142,0.111,0.86,1.863
-0.602,-0.223,1.087,-1.911,0.955,1.322,0.238,-0.675,-0.503
-0.602,-0.223,1.087,-1.911,0.955,1.322,0.238,-0.501,0.008
-0.602,-0.223,1.087,-1.911,0.955,1.322,0.238,-0.28,1.179
-0.602,-0.223,1.087,-1.911,0.955,1.322,0.238,0.164,1.567
-0.602,-0.223,1.087,-1.911,0.955,1.322,0.238,0.86,1.659
-0.634,-0.233,1.058,-1.215,0.57,0.532,0.087,-0.675,-1.066
-0.634,-0.233,1.058,-1.215,0.57,0.532,0.087,-0.501,0.167
-0.634,-0.233,1.058,-1.215,0.57,0.532,0.087,-0.28,0.981
-0.634,-0.233,1.058,-1.215,0.57,0.532,0.087,0.164,1.086
-0.634,-0.233,1.058,-1.215,0.57,0.532,0.087,0.86,1.246
-0.596,-0.856,1.093,-1.081,0.858,1.36,0.266,-0.675,-1.226
-0.596,-0.856,1.093,-1.081,0.858,1.36,0.266,-0.501,-0.585
-0.596,-0.856,1.093,-1.081,0.858,1.36,0.266,-0.28,-0.335
-0.596,-0.856,1.093,-1.081,0.858,1.36,0.266,0.164,0.087
-0.596,-0.856,1.093,-1.081,0.858,1.36,0.266,0.86,0.623
0.907,-0.856,-0.847,1.547,-1.038,0.393,-0.14,-0.675,-1.17
0.907,-0.856,-0.847,1.547,-1.038,0.393,-0.14,-0.501,-0.61
0.907,-0.856,-0.847,1.547,-1.038,0.393,-0.14,-0.28,-0.23
0.907,-0.856,-0.847,1.547,-1.038,0.393,-0.14,0.164,0.029
0.907,-0.856,-0.847,1.547,-1.038,0.393,-0.14,0.86,0.433
2.094,-0.856,-0.847,-1.946,-0.369,-0.089,0.991,-0.28,1.901
1.855,-0.856,0.075,-1.853,-0.72,1.609,-1.654,-0.28,1.282
0.324,0.731,-0.847,-1.712,-0.051,2.02,-0.356,-0.28,2.75
2.142,-0.856,0.091,0.629,-1.038,0.734,-1.791,-0.28,1.688
1.625,-0.856,-0.847,-0.776,0.845,0.734,-0.356,-0.28,2.573
2.247,-0.856,-0.847,-0.916,0.334,-2.211,0.354,-0.28,0.332
2.285,-0.856,-0.847,-0.542,-0.168,-1.517,1.016,-0.28,1.464
2.362,-0.856,-0.847,0.161,0.11,-0.681,-0.668,-0.28,1.258
2.285,-0.856,-0.847,-0.307,-0.168,-1.324,0.392,-0.28,0.91
0.994,-0.856,1.278,-1.104,2.31,-0.899,-0.07,-0.28,1.181
2.095,-0.856,-0.847,0.863,-0.536,1.948,-2.0,-0.28,0.498
1.616,-0.277,-0.847,0.863,-0.536,1.948,-2.0,-0.28,0.213
1.108,-0.657,1.622,-0.682,2.444,-0.076,-1.753,-0.28,1.187
0.496,-0.654,1.7,-0.682,1.958,0.297,-1.516,-0.28,0.686
0.506,-0.652,1.622,0.348,1.523,-0.076,-1.753,-0.28,0.509
1.185,-0.856,-0.847,-0.307,-1.038,1.892,-0.98,-0.28,0.987
-0.777,1.462,-0.847,0.395,-1.038,2.213,-1.417,-0.28,0.804
2.247,-0.856,-0.847,-0.916,0.344,-2.211,0.354,-0.28,0.332
-1.303,0.488,1.013,0.114,-0.084,-1.8,1.327,-0.28,-0.399
-1.159,0.627,1.06,0.02,0.033,-1.915,1.315,-0.28,0.214
-0.451,0.952,-0.847,0.348,-0.059,0.104,-0.169,-0.28,0.208
-0.298,1.23,0.638,-1.057,0.544,-1.452,0.33,-0.28,1.918
1.855,-0.856,-0.847,-0.916,0.552,0.914,-1.392,-0.28,1.359
0.037,1.346,-0.847,-0.869,0.234,0.747,-1.105,-0.28,1.063
0.716,0.523,-0.847,-1.01,0.473,1.133,-1.454,-0.28,1.388
-0.059,1.23,1.028,-0.916,0.694,-1.838,-0.107,-0.28,2.419
2.094,-0.856,-0.847,-1.431,0.468,0.773,-1.479,-0.28,2.036
-1.112,-0.856,1.397,-0.831,-1.038,0.42,1.588,-0.675,-1.282
-1.112,0.633,1.217,-0.305,0.314,0.423,-0.336,-0.675,-0.982
-0.987,0.648,1.007,-0.076,-0.441,0.442,-0.334,-0.675,-0.903
-1.089,0.649,1.163,-0.286,0.266,0.429,-0.336,-0.675,-1.25
-1.041,-0.699,1.847,-1.162,-0.345,0.429,1.033,-0.675,-0.87
-1.03,-0.276,1.865,-0.787,0.045,0.428,0.248,-0.675,-0.763
-1.092,0.017,1.763,-0.821,0.286,0.442,-0.043,-0.675,-1.215
-1.027,0.226,1.652,-0.432,0.59,0.441,-0.336,-0.675,-1.197
-0.869,-0.856,1.109,-0.7,0.616,1.364,0.316,-0.675,-1.393
-0.298,-0.856,0.649,0.481,-0.146,-0.309,1.043,-0.675,-1.636
-0.647,-0.856,1.876,-1.047,0.914,0.909,-0.021,-0.675,-1.21
-0.828,-0.856,0.724,-0.534,0.214,0.323,1.599,-0.675,-1.415
-0.285,-0.856,1.001,0.533,-0.076,0.909,-0.24,-0.675,-1.427
-1.112,-0.856,1.397,-0.831,-1.038,0.42,1.588,-0.501,-1.134
-1.112,0.633,1.217,-0.305,0.314,0.423,-0.336,-0.501,-0.163
-0.987,0.648,1.007,-0.076,-0.441,0.442,-0.334,-0.501,-0.094
-1.089,0.649,1.163,-0.286,0.266,0.429,-0.336,-0.501,-0.24
-1.041,-0.699,1.847,-1.162,-0.345,0.429,1.033,-0.501,-0.363
-1.03,-0.276,1.865,-0.787,0.045,0.428,0.248,-0.501,-0.168
-1.092,0.017,1.763,-0.821,0.286,0.442,-0.043,-0.501,-0.175
-1.027,0.226,1.652,-0.432,0.59,0.441,-0.336,-0.501,-0.375
-0.869,-0.856,1.109,-0.7,0.616,1.364,0.316,-0.501,-0.982
-0.298,-0.856,0.649,0.481,-0.146,-0.309,1.043,-0.501,-0.668
-0.647,-0.856,1.876,-1.047,0.914,0.909,-0.021,-0.501,-0.373
-0.828,-0.856,0.724,-0.534,0.214,0.323,1.599,-0.501,-0.69
-0.285,-0.856,1.001,0.533,-0.076,0.909,-0.24,-0.501,-0.903
-1.112,-0.856,1.397,-0.831,-1.038,0.42,1.588,-0.28,-0.576
-1.112,0.633,1.217,-0.305,0.314,0.423,-0.336,-0.28,0.633
-0.987,0.648,1.007,-0.076,-0.441,0.442,-0.334,-0.28,0.2
-1.089,0.649,1.163,-0.286,0.266,0.429,-0.336,-0.28,0.322
-1.041,-0.699,1.847,-1.162,-0.345,0.429,1.033,-0.28,-0.128
-1.03,-0.276,1.865,-0.787,0.045,0.428,0.248,-0.28,0.143
-1.092,0.017,1.763,-0.821,0.286,0.442,-0.043,-0.28,0.335
-1.027,0.226,1.652,-0.432,0.59,0.441,-0.336,-0.28,0.119
-0.869,-0.856,1.109,-0.7,0.616,1.364,0.316,-0.28,-0.657
-0.298,-0.856,0.649,0.481,-0.146,-0.309,1.043,-0.28,-0.515
-0.647,-0.856,1.876,-1.047,0.914,0.909,-0.021,-0.28,0.528
-0.828,-0.856,0.724,-0.534,0.214,0.323,1.599,-0.28,0.087
-0.285,-0.856,1.001,0.533,-0.076,0.909,-0.24,-0.28,-0.152
-1.112,-0.856,1.397,-0.831,-1.038,0.42,1.588,0.164,0.045
-1.112,0.633,1.217,-0.305,0.314,0.423,-0.336,0.164,1.072
-0.987,0.648,1.007,-0.076,-0.441,0.442,-0.334,0.164,0.764
-1.089,0.649,1.163,-0.286,0.266,0.429,-0.336,0.164,0.952
-1.041,-0.699,1.847,-1.162,-0.345,0.429,1.033,0.164,0.002
-1.03,-0.276,1.865,-0.787,0.045,0.428,0.248,0.164,1.075
-1.092,0.017,1.763,-0.821,0.286,0.442,-0.043,0.164,1.056
-1.027,0.226,1.652,-0.432,0.59,0.441,-0.336,0.164,0.788
-0.869,-0.856,1.109,-0.7,0.616,1.364,0.316,0.164,-0.246
-0.298,-0.856,0.649,0.481,-0.146,-0.309,1.043,0.164,0.229
-0.647,-0.856,1.876,-1.047,0.914,0.909,-0.021,0.164,0.924
-0.828,-0.856,0.724,-0.534,0.214,0.323,1.599,0.164,0.453
-0.285,-0.856,1.001,0.533,-0.076,0.909,-0.24,0.164,0.206
-1.112,-0.856,1.397,-0.831,-1.038,0.42,1.588,0.86,0.128
-1.112,0.633,1.217,-0.305,0.314,0.423,-0.336,0.86,1.149
-0.987,0.648,1.007,-0.076,-0.441,0.442,-0.334,0.86,0.849
-1.089,0.649,1.163,-0.286,0.266,0.429,-0.336,0.86,1.068
-1.041,-0.699,1.847,-1.162,-0.345,0.429,1.033,0.86,0.111
-1.03,-0.276,1.865,-0.787,0.045,0.428,0.248,0.86,1.212
-1.092,0.017,1.763,-0.821,0.286,0.442,-0.043,0.86,1.257
-1.027,0.226,1.652,-0.432,0.59,0.441,-0.336,0.86,0.905
-0.869,-0.856,1.109,-0.7,0.616,1.364,0.316,0.86,-0.135
-0.298,-0.856,0.649,0.481,-0.146,-0.309,1.043,0.86,0.32
-0.647,-0.856,1.876,-1.047,0.914,0.909,-0.021,0.86,1.026
-0.828,-0.856,0.724,-0.534,0.214,0.323,1.599,0.86,0.506
-0.285,-0.856,1.001,0.533,-0.076,0.909,-0.24,0.86,0.259
1.577,-0.578,0.388,-0.916,0.905,-0.076,-0.768,-0.28,1.27
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,-0.28,0.515
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,-0.28,0.91
1.577,-0.578,0.388,-0.916,0.686,-0.076,-0.768,-0.28,1.052
1.577,-0.578,0.388,-0.916,0.905,-0.076,-0.768,-0.675,-0.027
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,-0.675,-0.646
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,-0.675,-0.747
1.577,-0.578,0.388,-0.916,0.905,-0.076,-0.768,-0.612,0.969
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,-0.612,0.132
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,-0.612,0.208
1.577,-0.578,0.388,-0.916,0.905,-0.076,-0.768,0.164,1.511
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,0.164,1.217
1.577,-0.578,0.388,-0.916,0.91,-0.076,-0.768,0.164,1.163
1.577,-0.578,0.388,-0.916,0.686,-0.076,-0.768,0.164,1.134
1.013,-0.625,0.622,-1.15,1.359,-0.449,0.891,-0.28,0.863
1.013,-0.625,0.622,-1.15,1.294,-0.449,0.891,-0.28,0.65
1.013,-0.625,0.622,-1.15,0.905,-0.449,0.891,-0.28,0.65
1.013,-0.625,0.622,-1.15,1.359,-0.449,0.891,-0.675,-0.782
1.013,-0.625,0.622,-1.15,1.294,-0.449,0.891,-0.675,-0.617
1.013,-0.625,0.622,-1.15,0.905,-0.449,0.891,-0.675,-0.063
1.013,-0.625,0.622,-1.15,1.359,-0.449,0.891,-0.612,0.061
1.013,-0.625,0.622,-1.15,1.294,-0.449,0.891,-0.612,0.603
1.013,-0.625,0.622,-1.15,0.905,-0.449,0.891,-0.612,0.35
1.013,-0.625,0.622,-1.15,1.359,-0.449,0.891,0.164,1.228
1.013,-0.625,0.622,-1.15,1.294,-0.449,0.891,0.164,0.727
1.013,-0.625,0.622,-1.15,0.905,-0.449,0.891,0.164,1.535
0.707,-0.636,0.669,-1.712,1.16,-0.076,1.215,-0.28,0.492
0.707,-0.636,0.669,-1.712,1.012,-0.076,1.215,-0.28,1.175
2.008,-0.555,1.075,1.331,-0.381,-1.169,-0.93,-0.28,1.181
2.008,-0.555,1.075,0.91,-0.381,-1.941,-0.93,-0.28,1.323
2.008,-0.555,1.075,1.331,-0.381,-1.169,-0.93,-0.675,-0.611
2.008,-0.555,1.075,1.331,-0.381,-1.169,-0.93,-0.612,-0.139
2.008,-0.555,1.075,1.331,-0.381,-1.169,-0.93,0.164,1.423
2.008,-0.555,1.075,0.91,-0.381,-1.941,-0.93,-0.675,-0.375
2.008,-0.555,1.075,0.91,-0.381,-1.941,-0.93,-0.612,0.126
2.008,-0.555,1.075,0.91,-0.381,-1.941,-0.93,0.164,1.559
1.367,-0.601,1.216,-0.167,0.381,-1.941,-0.294,-0.28,1.57
1.367,-0.601,1.216,-0.167,0.381,-1.169,-0.294,-0.675,-0.228
1.367,-0.601,1.216,-0.635,0.455,-1.941,-0.294,-0.28,2.172
1.367,-0.601,1.216,-0.167,0.381,-1.941,-0.294,-0.612,0.191
1.367,-0.601,1.216,-0.167,0.381,-1.941,-0.294,0.164,1.789
1.367,-0.601,1.216,-0.635,0.455,-1.941,-0.294,-0.675,-0.222
1.367,-0.601,1.216,-0.635,0.455,-1.941,-0.294,-0.612,0.267
1.367,-0.601,1.216,-0.635,0.455,-1.941,-0.294,0.164,2.307
-0.758,-0.729,1.357,1.144,-0.751,-0.398,0.342,-0.28,-0.829
-0.758,-0.729,1.357,1.144,-0.751,-0.398,0.342,-0.675,-1.554
-0.758,-0.729,1.357,1.144,-0.751,-0.398,0.342,-0.612,-1.242
-0.758,-0.729,1.357,1.144,-0.751,-0.398,0.342,0.164,-0.753
0.027,-0.683,1.357,-0.12,-0.124,-1.684,0.342,-0.28,0.474
0.027,-0.683,1.357,-0.12,-0.124,-1.684,0.342,-0.675,-1.342
0.027,-0.683,1.357,-0.12,-0.124,-1.684,0.342,-0.612,-0.7
0.027,-0.683,1.357,-0.12,-0.124,-1.684,0.342,0.164,0.521
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,-0.28,1.623
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,-0.28,1.417
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,-0.675,-0.641
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,-0.675,-0.729
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,-0.612,-0.004
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,-0.612,0.167
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,0.164,1.971
0.745,-0.636,1.357,-1.291,0.788,-0.398,0.342,0.164,1.853
1.482,-0.856,-0.847,1.706,-1.038,-1.73,-0.672,-0.28,-0.716
0.075,-0.856,-0.847,0.489,-1.038,-0.768,1.518,0.702,-0.224
0.075,-0.856,-0.847,0.489,-1.038,-0.768,1.518,-0.675,-1.446
1.07,-0.856,-0.847,0.489,-1.038,-0.416,0.15,-0.675,-0.995
1.07,-0.856,-0.847,0.489,-1.038,-0.416,0.15,0.702,0.78
1.07,-0.856,-0.847,0.489,-1.038,-0.416,0.15,-0.28,0.227
1.903,-0.856,-0.847,0.489,-1.038,-0.472,-0.766,-0.28,0.486
1.903,-0.856,-0.847,0.489,-1.038,-0.472,-0.766,-0.612,-0.075
1.903,-0.856,-0.847,0.489,-1.038,-0.472,-0.766,0.702,1.107
1.903,-0.856,-0.847,0.489,-1.038,-0.472,-0.766,-0.675,-0.683
0.496,-0.856,-0.847,0.489,-1.038,-0.537,0.861,-0.675,-1.209
-0.25,-0.856,-0.847,0.489,-1.038,-1.069,2.138,0.702,-0.836
-0.25,-0.856,-0.847,0.489,-1.038,-1.069,2.138,-0.612,-1.532
0.075,-0.856,-0.847,0.489,-1.038,-0.768,1.518,-0.612,-1.27
-0.25,-0.856,-0.847,0.489,-1.038,-1.069,2.138,-0.28,-1.022
0.496,-0.856,-0.847,0.489,-1.038,-0.537,0.861,-0.28,-0.231
0.496,-0.856,-0.847,0.489,-1.038,-0.537,0.861,-0.612,-0.743
0.075,-0.856,-0.847,0.489,-1.038,-0.768,1.518,-0.28,-0.613
0.496,-0.856,-0.847,0.489,-1.038,-0.537,0.861,0.702,0.351
1.07,-0.856,-0.847,0.489,-1.038,-0.416,0.15,-0.612,-0.483
-0.25,-0.856,-0.847,0.489,-1.038,-1.069,2.138,-0.675,-1.653
-1.171,1.904,-0.847,0.194,-1.038,0.87,-0.49,-0.612,-1.568
-0.398,3.309,-0.847,0.194,-1.038,-0.403,-1.363,-0.612,-0.622
-0.411,0.984,-0.847,0.194,-1.038,0.87,-0.49,-0.612,-1.205
-0.95,2.305,-0.847,0.194,-1.038,0.508,-0.739,-0.28,-0.472
-0.839,2.507,-0.847,0.194,-1.038,0.325,-0.864,-0.28,-0.191
-0.246,1.117,-0.847,0.194,-1.038,0.69,-0.615,-0.612,-1.112
-0.08,1.252,-0.847,0.194,-1.038,0.508,-0.739,-0.612,-0.961
-0.398,3.309,-0.847,0.194,-1.038,-0.403,-1.363,-0.28,0.217
-0.578,0.85,-0.847,0.194,-1.038,1.056,-0.365,-0.28,-0.603
1.108,-0.856,-0.847,0.194,-1.038,0.87,-0.49,-0.28,-0.164
0.97,-0.856,-0.847,0.194,-1.038,0.963,-0.428,-0.612,-0.703
-0.674,2.807,-0.847,0.194,-1.038,0.052,-1.051,-0.612,-0.838
-1.171,1.904,-0.847,0.194,-1.038,0.87,-0.49,-0.28,-0.883
0.14,-0.856,-0.847,0.194,-1.038,1.524,-0.053,-0.612,-1.256
-0.246,1.117,-0.847,0.194,-1.038,0.69,-0.615,-0.28,-0.225
-0.743,0.716,-0.847,0.194,-1.038,1.328,-0.178,-0.612,-1.428
1.108,-0.856,-0.847,0.194,-1.038,0.87,-0.49,-0.612,-0.621
0.959,-0.856,-0.847,0.194,-1.038,1.694,0.134,-0.28,-0.798
0.14,-0.856,-0.847,0.194,-1.038,1.524,-0.053,-0.28,-0.635
-0.509,3.109,-0.847,0.194,-1.038,-0.22,-1.238,-0.28,0.232
-0.578,0.85,-0.847,0.194,-1.038,1.056,-0.365,-0.612,-1.361
0.334,1.586,-0.847,0.194,-1.038,0.052,-1.051,-0.28,0.173
-1.392,1.502,-0.847,0.194,-1.038,1.328,-0.178,-0.612,-1.695
-0.412,-0.856,-0.847,0.194,-1.038,1.876,0.196,-0.28,-1.092
0.555,-0.856,-0.847,0.194,-1.038,1.238,-0.24,-0.612,-0.876
-1.392,1.502,-0.847,0.194,-1.038,1.328,-0.178,-0.28,-1.055
-0.839,2.507,-0.847,0.194,-1.038,0.325,-0.864,-0.612,-1.114
-0.743,0.716,-0.847,0.194,-1.038,1.328,-0.178,-0.28,-0.789
0.086,1.386,-0.847,0.194,-1.038,0.325,-0.864,-0.612,-0.836
-0.95,2.305,-0.847,0.194,-1.038,0.508,-0.739,-0.612,-1.403
-1.061,0.946,-0.847,0.194,-1.038,0.69,-0.615,-0.28,-0.604
-0.674,2.807,-0.847,0.194,-1.038,0.052,-1.051,-0.28,0.119
-0.509,3.109,-0.847,0.194,-1.038,-0.22,-1.238,-0.612,-0.832
0.086,1.386,-0.847,0.194,-1.038,0.325,-0.864,-0.28,-0.166
0.959,-0.856,-0.847,0.194,-1.038,1.694,0.134,-0.612,-1.274
-0.411,0.984,-0.847,0.194,-1.038,0.87,-0.49,-0.28,-0.533
-0.909,0.582,-0.847,0.194,-1.038,1.421,-0.116,-0.612,-1.665
0.555,-0.856,-0.847,0.194,-1.038,1.238,-0.24,-0.28,-0.235
-0.412,-0.856,-0.847,0.194,-1.038,1.876,0.196,-0.612,-1.525
-0.274,-0.856,-0.847,0.194,-1.038,1.784,0.134,-0.28,-0.961
0.97,-0.856,-0.847,0.194,-1.038,0.963,-0.428,-0.28,0.097
-0.274,-0.856,-0.847,0.194,-1.038,1.784,0.134,-0.612,-1.457
0.334,1.586,-0.847,0.194,-1.038,0.052,-1.051,-0.612,-0.681
-0.909,0.582,-0.847,0.194,-1.038,1.421,-0.116,-0.28,-1.091
-1.061,0.946,-0.847,0.194,-1.038,0.69,-0.615,-0.612,-1.502
-0.08,1.252,-0.847,0.194,-1.038,0.508,-0.739,-0.28,-0.266
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,-0.675,-1.352
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,-0.612,-0.889
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,-0.501,-0.525
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,-0.28,-0.226
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,0.702,-0.039
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,2.127,0.038
0.553,-0.856,-0.847,0.723,-1.038,-0.063,0.093,5.055,0.184
-0.432,-0.856,-0.847,0.582,-1.038,-0.063,1.39,-0.675,-1.757
-0.432,-0.856,-0.847,0.582,-1.038,-0.063,1.39,-0.501,-1.376
-0.432,-0.856,-0.847,0.582,-1.038,-0.063,1.39,-0.28,-1.042
-0.432,-0.856,-0.847,0.582,-1.038,-0.063,1.39,0.702,-0.83
-0.432,-0.856,-0.847,0.535,-1.038,-0.063,1.39,2.127,-0.701
-0.432,-0.856,-0.847,0.535,-1.038,-0.063,1.39,5.055,-0.643
-0.04,-0.856,-0.847,0.442,-1.038,-0.063,1.028,-0.501,-0.871
-0.04,-0.856,-0.847,0.442,-1.038,-0.063,1.028,-0.28,-0.59
-0.04,-0.856,-0.847,0.442,-1.038,-0.063,1.028,-0.675,-1.464
-0.04,-0.856,-0.847,0.442,-1.038,-0.063,1.028,0.702,-0.273
-0.04,-0.856,-0.847,0.442,-1.038,-0.063,1.028,2.127,-0.209
-0.04,-0.856,-0.847,0.442,-1.038,-0.063,1.028,4.976,-0.127
-0.26,-0.856,-0.847,0.77,-1.038,-0.063,1.115,-0.675,-1.587
-0.26,-0.856,-0.847,0.77,-1.038,-0.063,1.115,0.702,-0.531
-0.26,-0.856,-0.847,0.77,-1.038,-0.063,1.115,2.127,-0.49
-0.26,-0.856,-0.847,0.77,-1.038,-0.063,1.115,5.055,-0.361
0.247,-0.856,-0.847,0.535,-1.038,-0.063,0.479,2.127,-0.08
0.247,-0.856,-0.847,0.535,-1.038,-0.063,0.479,5.055,0.02
0.247,-0.856,-0.847,0.535,-1.038,-0.063,0.479,-0.675,-1.393
0.247,-0.856,-0.847,0.535,-1.038,-0.063,0.479,-0.28,-0.496
0.247,-0.856,-0.847,0.535,-1.038,-0.063,0.479,0.702,-0.173
-0.432,-0.856,-0.847,0.535,-1.038,-0.063,1.39,-0.612,-1.546
-0.777,-0.856,-0.847,-0.073,-1.038,1.956,0.891,-0.612,-1.675
-0.777,-0.856,-0.847,-0.073,-1.038,1.956,0.891,-0.28,-1.411
-0.537,-0.856,-0.847,-0.027,-1.038,1.802,0.741,-0.612,-1.475
-0.537,-0.856,-0.847,-0.027,-1.038,1.802,0.741,-0.28,-1.106
0.419,-0.856,-0.847,0.114,-1.038,1.159,0.118,-0.612,-1.094
0.419,-0.856,-0.847,0.114,-1.038,1.159,0.118,-0.28,-0.314
-0.059,-0.856,-0.847,0.067,-1.038,1.48,0.429,-0.612,-1.294
-0.059,-0.856,-0.847,0.067,-1.038,1.48,0.429,-0.28,-0.678
0.18,-0.856,-0.847,0.114,-1.038,1.313,0.267,-0.612,-1.212
0.18,-0.856,-0.847,0.114,-1.038,1.313,0.267,-0.28,-0.537
0.898,-0.856,-0.847,0.208,-1.038,0.837,-0.194,-0.612,-0.584
0.898,-0.856,-0.847,0.208,-1.038,0.837,-0.194,-0.28,0.143
1.137,-0.856,-0.847,0.254,-1.038,0.67,-0.356,-0.28,0.472
1.137,-0.856,-0.847,0.254,-1.038,0.67,-0.356,-0.612,-0.34
-0.298,-0.856,-0.847,0.02,-1.038,1.634,0.579,-0.612,-1.382
-0.298,-0.856,-0.847,0.02,-1.038,1.634,0.579,-0.28,-0.895
0.659,-0.856,-0.847,0.208,-1.038,0.991,-0.045,-0.612,-0.93
0.659,-0.856,-0.847,0.208,-1.038,0.991,-0.045,-0.28,-0.091
-0.743,2.682,-0.847,1.027,-1.038,-0.122,-1.791,-0.612,-0.974
-0.296,1.077,-0.847,1.027,-1.038,0.06,-0.991,0.702,0.712
-1.188,1.879,-0.847,0.489,-1.038,-0.483,0.095,0.702,0.452
-1.338,1.601,-0.847,1.027,-1.038,-0.014,-0.313,-0.28,-0.355
-1.094,2.043,-0.847,1.027,-1.038,0.034,-1.01,-0.675,-1.731
-1.517,1.275,-0.847,1.027,-1.038,-0.189,0.331,0.702,-0.157
-0.931,0.564,-0.847,1.027,-1.038,-0.176,0.33,-0.675,-1.851
-1.714,0.917,-0.847,0.489,-1.038,-1.105,2.101,-0.675,-1.871
-1.714,0.917,-0.847,0.489,-1.038,-1.105,2.101,0.702,-0.62
-1.517,1.275,-0.847,1.027,-1.038,-0.189,0.331,-0.28,-0.69
-1.094,2.043,-0.847,1.027,-1.038,0.034,-1.01,-0.28,-0.112
-0.777,0.685,-0.847,0.489,-1.038,-0.097,0.407,-0.675,-1.461
-1.654,1.026,-0.847,1.027,-1.038,-0.447,0.941,-0.28,-0.911
0.231,1.502,-0.847,1.027,-1.038,-0.097,-1.778,-0.612,-0.594
-1.654,1.026,-0.847,1.027,-1.038,-0.447,0.941,0.702,-0.394
-1.58,1.149,-0.847,0.489,-1.038,-0.812,1.476,0.702,-0.287
-1.338,1.601,-0.847,1.027,-1.038,-0.014,-0.313,-0.612,-1.522
-1.188,1.879,-0.847,0.489,-1.038,-0.483,0.095,-0.28,-0.129
-1.418,1.462,-0.847,0.489,-1.038,-0.585,0.818,-0.28,-0.475
-0.296,1.077,-0.847,1.027,-1.038,0.06,-0.991,-0.612,-0.986
-1.035,0.488,-0.847,0.489,-1.038,-0.336,1.038,-0.612,-1.462
-0.853,2.482,-0.847,0.489,-1.038,-0.555,-0.717,-0.675,-1.379
-0.853,2.482,-0.847,0.489,-1.038,-0.555,-0.717,-0.28,0.21
-1.226,0.326,-0.847,0.489,-1.038,-1.092,2.114,-0.675,-1.858
0.065,1.369,-0.847,0.489,-1.038,-0.526,-0.696,-0.675,-1.18
0.231,1.502,-0.847,1.027,-1.038,-0.097,-1.778,-0.28,0.452
-0.432,0.963,-0.847,0.489,-1.038,-0.004,-0.305,-0.612,-0.922
-1.035,0.488,-0.847,0.489,-1.038,-0.336,1.038,-0.675,-1.729
-0.662,0.781,-0.847,1.027,-1.038,0.006,-0.294,-0.612,-1.244
-0.432,0.963,-0.847,0.489,-1.038,-0.004,-0.305,-0.675,-1.332
-0.931,0.564,-0.847,1.027,-1.038,-0.176,0.33,0.702,-0.197
-1.094,2.043,-0.847,1.027,-1.038,0.034,-1.01,-0.612,-1.201
-1.714,0.917,-0.847,0.489,-1.038,-1.105,2.101,-0.612,-1.685
0.065,1.369,-0.847,0.489,-1.038,-0.526,-0.696,-0.28,0.179
-0.662,0.781,-0.847,1.027,-1.038,0.006,-0.294,-0.28,-0.168
-1.714,0.917,-0.847,0.489,-1.038,-1.105,2.101,-0.28,-1.11
-1.035,0.488,-0.847,0.489,-1.038,-0.336,1.038,-0.28,-0.691
-0.931,0.564,-0.847,1.027,-1.038,-0.176,0.33,-0.28,-0.705
